state_fips,age,cow,english,marital,educ,sex,hours,yoep,nativity,income,state_abb,entry_recency,age_sq,educ_level,married,female,y
40,38,1.0,2.0,1,21.0,1,40.0,2017.0,2,51000.0,OK,1.0,1444,BAplus,1,0,10.839600519357369
40,29,2.0,3.0,5,24.0,1,48.0,2017.0,2,30000.0,OK,1.0,841,BAplus,0,0,10.308985993422082
40,27,1.0,1.0,5,16.0,2,60.0,2018.0,2,36000.0,OK,0.0,729,HS,0,1,10.491301994830229
40,46,1.0,1.0,1,16.0,1,42.0,2017.0,2,30000.0,OK,1.0,2116,HS,1,0,10.308985993422082
40,46,7.0,3.0,1,16.0,1,40.0,2017.0,2,50000.0,OK,1.0,2116,HS,1,0,10.819798284210286
40,39,6.0,3.0,1,9.0,1,40.0,2018.0,2,30000.0,OK,0.0,1521,<HS,1,0,10.308985993422082
40,32,5.0,2.0,1,18.0,1,41.0,2018.0,2,38000.0,OK,0.0,1024,SomeCollege,1,0,10.545367754151743
41,33,1.0,1.0,5,21.0,1,60.0,2017.0,2,110200.0,OR,1.0,1089,BAplus,0,0,11.610061250069942
41,36,1.0,1.0,1,22.0,1,50.0,2017.0,2,140150.0,OR,1.0,1296,BAplus,1,0,11.850475691779751
41,50,5.0,2.0,1,24.0,1,52.0,2017.0,2,100000.0,OR,1.0,2500,BAplus,1,0,11.51293546492023
41,26,1.0,1.0,5,22.0,2,40.0,2017.0,2,80000.0,OR,1.0,676,BAplus,0,1,11.289794413577894
41,40,4.0,3.0,1,24.0,1,30.0,2018.0,2,60000.0,OR,0.0,1600,BAplus,1,0,11.002116507732017
41,36,1.0,1.0,1,23.0,1,50.0,2017.0,2,115000.0,OR,1.0,1296,BAplus,1,0,11.652696102959753
41,40,1.0,1.0,1,21.0,1,40.0,2017.0,2,81000.0,OR,1.0,1600,BAplus,1,0,11.302216779257382
41,32,1.0,1.0,1,22.0,2,40.0,2018.0,2,122000.0,OR,0.0,1024,BAplus,1,1,11.711784520403112
41,35,1.0,1.0,1,21.0,1,40.0,2018.0,2,87000.0,OR,0.0,1225,BAplus,1,0,11.373674891823535
41,45,1.0,3.0,5,22.0,1,55.0,2017.0,2,107300.0,OR,1.0,2025,BAplus,0,0,11.583393248239855
41,39,1.0,3.0,3,22.0,1,50.0,2017.0,2,67000.0,OR,1.0,1521,BAplus,0,0,11.112462823634855
41,34,1.0,1.0,5,21.0,1,40.0,2017.0,2,115000.0,OR,1.0,1156,BAplus,0,0,11.652696102959753
42,27,1.0,4.0,1,14.0,1,60.0,2018.0,2,90000.0,PA,0.0,729,<HS,1,0,11.407576060361786
42,43,2.0,1.0,1,22.0,1,45.0,2018.0,2,60000.0,PA,0.0,1849,BAplus,1,0,11.002116507732017
