experiment,o,alpha,coverage,width,method,dataset,nominal_coverage
30045,0,0.05,1,,D-HCP,fixedN21,0.95
30046,0,0.05,1,,D-HCP,fixedN21,0.95
30047,0,0.05,1,,D-HCP,fixedN21,0.95
30048,0,0.05,1,,D-HCP,fixedN21,0.95
30049,0,0.05,1,,D-HCP,fixedN21,0.95
30050,0,0.05,1,,D-HCP,fixedN21,0.95
30051,0,0.05,1,,D-HCP,fixedN21,0.95
30052,0,0.05,1,,D-HCP,fixedN21,0.95
30053,0,0.05,1,,D-HCP,fixedN21,0.95
30054,0,0.05,1,,D-HCP,fixedN21,0.95
30055,0,0.05,1,,D-HCP,fixedN21,0.95
30056,0,0.05,1,,D-HCP,fixedN21,0.95
30057,0,0.05,1,,D-HCP,fixedN21,0.95
30058,0,0.05,1,,D-HCP,fixedN21,0.95
30059,0,0.05,1,,D-HCP,fixedN21,0.95
30060,0,0.05,1,,D-HCP,fixedN21,0.95
30061,0,0.05,1,,D-HCP,fixedN21,0.95
30062,0,0.05,1,,D-HCP,fixedN21,0.95
30063,0,0.05,1,,D-HCP,fixedN21,0.95
30064,0,0.05,1,,D-HCP,fixedN21,0.95
30065,0,0.05,1,,D-HCP,fixedN21,0.95
30066,0,0.05,1,,D-HCP,fixedN21,0.95
30067,0,0.05,1,,D-HCP,fixedN21,0.95
30068,0,0.05,1,,D-HCP,fixedN21,0.95
30069,0,0.05,1,,D-HCP,fixedN21,0.95
30070,0,0.05,1,,D-HCP,fixedN21,0.95
30071,0,0.05,1,,D-HCP,fixedN21,0.95
30072,0,0.05,1,,D-HCP,fixedN21,0.95
30073,0,0.05,1,,D-HCP,fixedN21,0.95
30074,0,0.05,1,,D-HCP,fixedN21,0.95
30075,0,0.05,1,,D-HCP,fixedN21,0.95
30076,0,0.05,1,,D-HCP,fixedN21,0.95
30077,0,0.05,1,,D-HCP,fixedN21,0.95
30078,0,0.05,1,,D-HCP,fixedN21,0.95
30079,0,0.05,1,,D-HCP,fixedN21,0.95
30080,0,0.05,1,,D-HCP,fixedN21,0.95
30081,0,0.05,1,,D-HCP,fixedN21,0.95
30082,0,0.05,1,,D-HCP,fixedN21,0.95
30083,0,0.05,1,,D-HCP,fixedN21,0.95
30084,0,0.05,1,,D-HCP,fixedN21,0.95
30085,0,0.05,1,,D-HCP,fixedN21,0.95
30086,0,0.05,1,,D-HCP,fixedN21,0.95
30087,0,0.05,1,,D-HCP,fixedN21,0.95
30088,0,0.05,1,,D-HCP,fixedN21,0.95
30089,0,0.05,1,,D-HCP,fixedN21,0.95
30090,0,0.05,1,,D-HCP,fixedN21,0.95
30091,0,0.05,1,,D-HCP,fixedN21,0.95
30092,0,0.05,1,,D-HCP,fixedN21,0.95
30093,0,0.05,1,,D-HCP,fixedN21,0.95
30094,0,0.05,1,,D-HCP,fixedN21,0.95
30095,0,0.05,1,,D-HCP,fixedN21,0.95
30096,0,0.05,1,,D-HCP,fixedN21,0.95
30097,0,0.05,1,,D-HCP,fixedN21,0.95
30098,0,0.05,1,,D-HCP,fixedN21,0.95
30099,0,0.05,1,,D-HCP,fixedN21,0.95
40000,0,0.05,1,,D-HCP,fixedN21,0.95
40001,0,0.05,1,,D-HCP,fixedN21,0.95
40002,0,0.05,1,,D-HCP,fixedN21,0.95
40003,0,0.05,1,,D-HCP,fixedN21,0.95
40004,0,0.05,1,,D-HCP,fixedN21,0.95
40005,0,0.05,1,,D-HCP,fixedN21,0.95
40006,0,0.05,1,,D-HCP,fixedN21,0.95
40007,0,0.05,1,,D-HCP,fixedN21,0.95
40008,0,0.05,1,,D-HCP,fixedN21,0.95
40009,0,0.05,1,,D-HCP,fixedN21,0.95
40010,0,0.05,1,,D-HCP,fixedN21,0.95
40011,0,0.05,1,,D-HCP,fixedN21,0.95
40012,0,0.05,1,,D-HCP,fixedN21,0.95
40013,0,0.05,1,,D-HCP,fixedN21,0.95
40014,0,0.05,1,,D-HCP,fixedN21,0.95
40015,0,0.05,1,,D-HCP,fixedN21,0.95
40016,0,0.05,1,,D-HCP,fixedN21,0.95
40017,0,0.05,1,,D-HCP,fixedN21,0.95
40018,0,0.05,1,,D-HCP,fixedN21,0.95
40019,0,0.05,1,,D-HCP,fixedN21,0.95
40020,0,0.05,1,,D-HCP,fixedN21,0.95
40021,0,0.05,1,,D-HCP,fixedN21,0.95
40022,0,0.05,1,,D-HCP,fixedN21,0.95
40023,0,0.05,1,,D-HCP,fixedN21,0.95
