replicate,method,o,coverage,width,width_income
10,HCP,20,0.9655,2.1254,151894.5471
10,Pooling,0,0.8,1.5983,104557.262
10,Pooling,5,0.7333,1.5983,107969.1821
10,Pooling,10,0.7,1.5983,99473.4306
10,Pooling,20,0.6897,1.5983,105726.5201
10,Subsampling,0,0.8,1.6189,106182.8052
10,Subsampling,5,0.7333,1.6189,109647.7701
10,Subsampling,10,0.7,1.6189,101019.9358
10,Subsampling,20,0.7241,1.6189,107370.2416
10,Repeated,0,0.9667,2.3198,169519.4032
10,Repeated,5,0.9667,2.3198,175051.1726
10,Repeated,10,0.9,2.3198,161276.9526
10,Repeated,20,0.9655,2.3198,171415.1294
10,Std-CP,0,1.0,,
10,Std-CP,5,0.7667,7.9251,988711459931711.1
10,Std-CP,10,0.8667,5.3265,22367206.6794
10,Std-CP,20,0.8621,19.5998,1.0232405548005723e+96
11,donor-HCP-randomized,0,0.9667,2.1952,164272.809
11,donor-HCP-randomized,5,0.8,2.1299,150947.0035
11,donor-HCP-randomized,10,0.9667,2.1003,151418.9685
11,donor-HCP-randomized,20,0.9333,1.9487,132635.7983
11,donor-HCP-derandomized,0,1.0,3.0273,269804.3209
11,donor-HCP-derandomized,5,0.9,2.9822,252752.1166
11,donor-HCP-derandomized,10,0.9667,2.693,219160.5525
11,donor-HCP-derandomized,20,0.9667,2.3995,180182.4142
11,sample-HCP-randomized,0,0.9333,2.139,165109.1322
11,sample-HCP-randomized,5,0.8,2.0952,150089.0121
11,sample-HCP-randomized,10,0.9667,1.9521,141607.4384
11,sample-HCP-randomized,20,0.9,1.8999,131453.0134
11,sample-HCP-derandomized,0,1.0,3.0273,269804.3209
11,sample-HCP-derandomized,5,0.8667,2.4403,185478.2526
11,sample-HCP-derandomized,10,0.9667,2.4164,186365.5075
11,sample-HCP-derandomized,20,0.9667,2.3584,175629.9017
11,HCP,0,0.9667,2.1952,164272.809
11,HCP,5,0.8,2.1952,157504.2521
11,HCP,10,0.9667,2.1952,160832.7815
11,HCP,20,0.9667,2.1952,155130.1058
11,Pooling,0,0.9333,2.0156,146462.8387
11,Pooling,5,0.8,2.0156,140428.1087
11,Pooling,10,0.9667,2.0156,143395.7687
11,Pooling,20,0.9333,2.0156,138311.3602
11,Subsampling,0,1.0,2.4649,193560.2024
11,Subsampling,5,0.8667,2.4649,185584.9126
11,Subsampling,10,0.9667,2.4649,189506.8691
11,Subsampling,20,0.9667,2.4649,182787.4914
11,Repeated,0,1.0,2.3046,175765.9535
11,Repeated,5,0.8333,2.3046,168523.8429
11,Repeated,10,0.9667,2.3046,172085.2486
11,Repeated,20,0.9667,2.3046,165983.5923
11,Std-CP,0,1.0,,
11,Std-CP,5,0.8667,5.9098,11502482564.4998
11,Std-CP,10,0.8333,4.2045,26250342.8461
11,Std-CP,20,0.8333,10.6705,9800594814635144.0
12,donor-HCP-randomized,0,0.8667,2.0131,161952.8135
12,donor-HCP-randomized,5,0.9,1.9328,142406.2033
12,donor-HCP-randomized,10,0.8,1.8965,138666.9854
12,donor-HCP-randomized,20,0.9,1.7283,114618.9319
12,donor-HCP-derandomized,0,0.9,3.081,300960.3259
12,donor-HCP-derandomized,5,0.9667,2.8038,240264.8083
12,donor-HCP-derandomized,10,0.9667,2.5939,212106.0912
12,donor-HCP-derandomized,20,0.9667,2.309,167193.9098
12,sample-HCP-randomized,0,0.8333,1.9093,153304.6187
12,sample-HCP-randomized,5,0.8667,1.7437,123422.563
12,sample-HCP-randomized,10,0.7667,1.7114,120137.7991
12,sample-HCP-randomized,20,0.9,1.7152,113796.5702
12,sample-HCP-derandomized,0,0.9,2.8862,270198.7253
12,sample-HCP-derandomized,5,0.9667,2.393,188677.0964
12,sample-HCP-derandomized,10,0.9333,2.3699,186142.9324
12,sample-HCP-derandomized,20,0.9667,2.2826,164285.0818
12,HCP,0,0.8667,2.0131,161952.8135
12,HCP,5,0.9,2.0131,151160.4944
12,HCP,10,0.8333,2.0131,150740.7679
12,HCP,20,0.9667,2.0131,142198.6438
12,Pooling,0,0.7667,1.6912,129797.4003
12,Pooling,5,0.8667,1.6912,121147.8749
12,Pooling,10,0.7333,1.6912,120811.4843
12,Pooling,20,0.9,1.6912,113965.3822
12,Subsampling,0,0.8667,2.0387,164679.4566
12,Subsampling,5,0.9,2.0387,153705.4376
12,Subsampling,10,0.8333,2.0387,153278.6446
12,Subsampling,20,0.9667,2.0387,144592.705
12,Repeated,0,0.8667,2.2755,191222.6852
12,Repeated,5,0.9333,2.2755,178479.8609
12,Repeated,10,0.9,2.2755,177984.2769
12,Repeated,20,0.9667,2.2755,167898.3274
12,Std-CP,0,1.0,,
12,Std-CP,5,0.7667,16.5833,3.363838826515354e+34
12,Std-CP,10,0.8333,5.021,34185330.4327
12,Std-CP,20,0.9,7.3691,23605944721.9095
13,donor-HCP-randomized,0,0.8333,2.0952,183953.662
13,donor-HCP-randomized,5,0.8333,2.1018,140765.2819
13,donor-HCP-randomized,10,0.8667,2.0492,139334.8591
13,donor-HCP-randomized,20,0.9,1.7438,111923.5753
13,donor-HCP-derandomized,0,0.9667,3.1079,336742.7611
13,donor-HCP-derandomized,5,0.9333,3.0803,253100.422
13,donor-HCP-derandomized,10,0.9667,2.8773,228519.1243
13,donor-HCP-derandomized,20,0.9667,2.3853,171159.2986
13,sample-HCP-randomized,0,0.8333,2.0351,175644.2841
13,sample-HCP-randomized,5,0.8667,1.9075,124976.6188
13,sample-HCP-randomized,10,0.9,1.8305,121923.3907
13,sample-HCP-randomized,20,0.9333,1.7906,117026.4442
13,sample-HCP-derandomized,0,0.9667,3.0972,331423.227
13,sample-HCP-derandomized,5,0.9333,2.5604,188413.5193
13,sample-HCP-derandomized,10,0.9333,2.5481,188660.8971
13,sample-HCP-derandomized,20,0.9667,2.3635,168815.1122
13,HCP,0,0.8333,2.0952,183953.662
13,HCP,5,0.8333,2.0952,140152.9979
13,HCP,10,0.9,2.0952,143380.5134
13,HCP,20,0.9667,2.0952,145048.8482
13,Pooling,0,0.7667,1.8226,153449.1264
13,Pooling,5,0.8,1.8226,116911.8073
13,Pooling,10,0.8333,1.8226,119604.1127
13,Pooling,20,0.8667,1.8226,120995.792
13,Subsampling,0,0.8333,2.1198,186861.2648
13,Subsampling,5,0.8667,2.1198,142368.28
13,Subsampling,10,0.9,2.1198,145646.8101
13,Subsampling,20,0.9667,2.1198,147341.5149
13,Repeated,0,0.8,2.0413,177665.5577
13,Repeated,5,0.8333,2.0413,135362.1356
13,Repeated,10,0.8667,2.0413,138479.3246
13,Repeated,20,0.9,2.0413,140090.6305
13,Std-CP,0,1.0,,
13,Std-CP,5,0.8667,15.0408,1.0318235257206889e+39
13,Std-CP,10,0.9,6.8056,54986781867.3398
13,Std-CP,20,0.8,6.8461,2.989276249688145e+25
14,donor-HCP-randomized,0,0.8,1.8344,115324.0356
14,donor-HCP-randomized,5,0.7333,1.8358,121467.954
14,donor-HCP-randomized,10,0.8333,1.8173,96004.9636
14,donor-HCP-randomized,20,0.9,1.6412,87783.6711
14,donor-HCP-derandomized,0,0.9667,3.2818,275019.3904
14,donor-HCP-derandomized,5,0.9333,2.6887,209870.5523
14,donor-HCP-derandomized,10,0.9667,2.6775,165465.1503
14,donor-HCP-derandomized,20,0.9333,2.225,131675.7905
14,sample-HCP-randomized,0,0.8,1.8635,118484.5047
14,sample-HCP-randomized,5,0.7333,1.6228,106482.0408
14,sample-HCP-randomized,10,0.8,1.611,82747.8978
14,sample-HCP-randomized,20,0.9,1.502,80708.3528
14,sample-HCP-derandomized,0,0.9667,2.8673,219060.1974
14,sample-HCP-derandomized,5,0.8333,2.1878,158108.6892
14,sample-HCP-derandomized,10,0.9333,2.1638,124996.1449
14,sample-HCP-derandomized,20,0.9333,2.1804,128113.2528
14,HCP,0,0.8,1.8344,115324.0356
14,HCP,5,0.7333,1.8344,121304.2849
14,HCP,10,0.8333,1.8344,96901.902
14,HCP,20,0.9,1.8344,102442.2327
14,Pooling,0,0.7,1.4932,89719.807
14,Pooling,5,0.7333,1.4932,94372.3221
14,Pooling,10,0.7667,1.4932,75387.7533
14,Pooling,20,0.8333,1.4932,79698.0205
14,Subsampling,0,0.9,2.3624,161878.3275
14,Subsampling,5,0.8667,2.3624,170272.6987
14,Subsampling,10,0.9667,2.3624,136019.5014
14,Subsampling,20,0.9667,2.3624,143796.3666
14,Repeated,0,0.9,2.2128,147692.6209
14,Repeated,5,0.8333,2.2128,155351.3773
14,Repeated,10,0.9333,2.2128,124099.853
14,Repeated,20,0.9333,2.2128,131195.2167
