experiment,o_observed,coverage_donor_none,coverage_donor_mean,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_mean,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_mean,infinite_donor_ols,infinite_stdcp,infinite_hcp
23,50,0.76,0.8,0.82,0.77,0.86,1.481861925632598,2.324173537240687,1.6284857123733405,1.5724437164778284,1.8740530024287172,0,0,0,0,0
24,0,0.85,0.85,0.85,,0.85,1.5096527749562543,1.5096527749562543,1.5096527749562543,,1.5096527749562543,0,0,0,0,0
24,10,0.74,0.72,0.86,0.8,0.75,1.476517217512395,1.591085720486543,2.955236102960707,4.650240434800045,1.5096527749562543,0,0,0,0,0
24,20,0.74,0.8,0.78,0.79,0.81,1.324398209385404,1.745745530967932,1.3152551455313155,1.767788767753991,1.5096527749562543,0,0,0,0,0
24,30,0.78,0.8,0.82,0.82,0.79,1.5366440495556928,2.3414209760681577,1.6446733390628072,1.69286561426897,1.5096527749562543,0,0,0,0,0
24,40,0.79,0.8,0.77,0.78,0.72,1.4564081684234276,2.293839537978305,1.4911055053660995,1.6808711545912636,1.5096527749562543,0,0,0,0,0
24,50,0.73,0.8,0.73,0.82,0.74,1.4588253629394452,2.2347987101296165,1.5207686897422037,1.5036239590587541,1.5096527749562543,0,0,0,0,0
25,0,0.84,0.84,0.84,,0.84,1.7543659089672483,1.7543659089672483,1.7543659089672483,,1.7543659089672483,0,0,0,0,0
25,10,0.84,0.82,0.79,0.85,0.88,1.6060803479893542,1.5886624367473101,2.13156022121794,3.751227934461708,1.7543659089672483,0,0,0,0,0
25,20,0.76,0.76,0.67,0.82,0.8,1.5220772533578637,1.6640406408653652,1.357174524714967,1.7725272701394665,1.7543659089672483,0,0,0,0,0
25,30,0.71,0.74,0.75,0.72,0.81,1.39693543250235,2.207645462575679,1.7013859640421705,1.7432602986820886,1.7543659089672483,0,0,0,0,0
25,40,0.82,0.87,0.84,0.9,0.9,1.4785735559415865,2.3198604907935723,1.541516261451485,1.7713330473501379,1.7543659089672483,0,0,0,0,0
25,50,0.76,0.81,0.8,0.75,0.81,1.491994326238522,2.421185286978722,1.582526080854812,1.573319917168079,1.7543659089672483,0,0,0,0,0
26,0,0.91,0.91,0.91,,0.91,1.98203872233334,1.98203872233334,1.98203872233334,,1.98203872233334,0,0,0,0,0
26,10,0.9,0.87,0.85,0.82,0.94,1.772523062831582,1.8407839470817842,2.5916888710333232,6.854035560779327,1.98203872233334,0,0,0,0,0
26,20,0.86,0.9,0.88,0.87,0.92,1.6402569410095162,1.8026543691028651,1.5369783864288253,1.8927560859332895,1.98203872233334,0,0,0,0,0
26,30,0.8,0.73,0.81,0.77,0.87,1.4156051212286758,2.391732155369354,1.58562141605832,1.632594911285785,1.98203872233334,0,0,0,0,0
26,40,0.81,0.77,0.83,0.81,0.91,1.4446272224202759,2.36152574798858,1.601333754934784,1.5996263485590356,1.98203872233334,0,0,0,0,0
26,50,0.78,0.86,0.81,0.8,0.91,1.358383423182071,2.200152454860976,1.3868496382964746,1.4340537213850615,1.98203872233334,0,0,0,0,0
27,0,0.92,0.92,0.92,,0.92,1.7332650011087756,1.7332650011087756,1.7332650011087756,,1.7332650011087756,0,0,0,0,0
27,10,0.79,0.81,0.88,0.82,0.84,1.5661398538759137,1.5733621678336585,3.3358211006112155,4.6660137854830905,1.7332650011087756,0,0,0,0,0
27,20,0.85,0.81,0.76,0.83,0.92,1.397644560352539,1.6160359151510066,1.3365708267185994,2.121587351863857,1.7332650011087756,0,0,0,0,0
