source_file,config,format,method,o_observed,coverage_mean,coverage_std,coverage_n,width_mean,width_std,width_n,infinite_rate_mean,infinite_rate_std,infinite_n
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,20,0.8102000000000001,0.04273125319950257,50,1.930124045276569,0.0972782764937552,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,25,0.853,0.03811823710509184,50,1.9951928392224239,0.10964465691182328,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,30,0.799,0.0366742416417845,50,1.664205388471227,0.0909160143387489,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,35,0.8351999999999999,0.04060738849027353,50,1.752394762141474,0.08088082725466036,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,stdcp,40,0.8046,0.038792267270681656,50,1.5776083417544975,0.07222494042942848,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,0,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,5,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,10,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,15,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,20,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,25,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,30,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,35,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sub,40,0.8382000000000001,0.10880606600736926,50,1.703288751987942,0.4703555495265656,50,0.0,0.0,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,0,0.9924,0.011235657524150521,50,3.476201754811773,0.47655954737624756,32,0.36,0.48,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,5,0.9615999999999998,0.026484712571594952,50,2.613049823688354,0.2809217374005585,50,0.0,0.0,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,10,0.9356,0.03383252872606478,50,2.2583471770765704,0.2723639203249768,50,0.0,0.0,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,15,0.9186,0.03616683563708608,50,2.1725719669540196,0.3568846603037587,50,0.0,0.0,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,20,0.9179999999999999,0.03162277660168378,50,2.0842220815252723,0.22441288556004582,50,0.0,0.0,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,25,0.9425999999999999,0.03724567088937987,50,2.050514808804781,0.29497067765533724,44,0.12,0.32496153618543844,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,30,0.9869999999999999,0.03144837038703277,50,2.1765087221833768,0.2287676890535473,12,0.76,0.4270831300812525,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,35,0.9952,0.01734819875376115,50,2.211817498873647,0.2682342849663537,4,0.92,0.2712931993250107,50
DGP/results/files/poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,poissonNmean21_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_derandomized,40,1.0,0.0,50,,,0,1.0,0.0,50
