tau_B,experiment,o,method,coverage,width,n_infinite
5.0,6,5,HCP,0.81,23.40305354136336,0
5.0,6,5,Pooling,0.77,22.19334881422219,0
5.0,6,5,Repeated,0.81,23.515116087498395,0
5.0,6,5,S-HCP-within,0.56,14.46274189955509,0
5.0,6,5,Std-CP,0.71,6.398929775430895,0
5.0,6,5,Subsampling,0.76,21.635326736877527,0
5.0,6,10,Donor-HCP-no-within,0.83,21.651507332468814,0
5.0,6,10,Donor-HCP-within,0.74,14.62110658822601,0
5.0,6,10,HCP,0.81,23.40305354136336,0
5.0,6,10,Pooling,0.77,22.19334881422219,0
5.0,6,10,Repeated,0.81,23.515116087498395,0
5.0,6,10,S-HCP-within,0.56,14.212368564226294,0
5.0,6,10,Std-CP,0.85,17.334839934558822,0
5.0,6,10,Subsampling,0.76,21.635326736877527,0
5.0,6,15,Donor-HCP-no-within,0.78,20.152664063949576,0
5.0,6,15,Donor-HCP-within,0.87,13.917190078664888,0
5.0,6,15,HCP,0.81,23.40305354136336,0
5.0,6,15,Pooling,0.77,22.19334881422219,0
5.0,6,15,Repeated,0.81,23.515116087498395,0
5.0,6,15,S-HCP-within,0.56,14.207375106515252,0
5.0,6,15,Std-CP,0.87,5.926486524467465,0
5.0,6,15,Subsampling,0.76,21.635326736877527,0
5.0,6,20,Donor-HCP-no-within,0.79,19.6331766912256,0
5.0,6,20,Donor-HCP-within,0.81,10.830856231072321,0
5.0,6,20,HCP,0.81,23.40305354136336,0
5.0,6,20,Pooling,0.77,22.19334881422219,0
5.0,6,20,Repeated,0.81,23.515116087498395,0
5.0,6,20,S-HCP-within,0.55,14.151855911546463,0
5.0,6,20,Std-CP,0.78,3.383192519000628,0
5.0,6,20,Subsampling,0.76,21.635326736877527,0
5.0,6,25,Donor-HCP-no-within,0.84,12.134574102352286,0
5.0,6,25,Donor-HCP-within,0.81,3.386730293375757,0
5.0,6,25,HCP,0.81,23.40305354136336,0
5.0,6,25,Pooling,0.77,22.19334881422219,0
5.0,6,25,Repeated,0.81,23.515116087498395,0
5.0,6,25,S-HCP-within,0.85,12.543655671510486,0
5.0,6,25,Std-CP,0.83,3.1199690576817702,0
5.0,6,25,Subsampling,0.76,21.635326736877527,0
5.0,6,30,Donor-HCP-no-within,0.83,12.08002044076265,0
5.0,6,30,Donor-HCP-within,0.78,2.7437055654128026,0
5.0,6,30,HCP,0.81,23.40305354136336,0
5.0,6,30,Pooling,0.77,22.19334881422219,0
5.0,6,30,Repeated,0.81,23.515116087498395,0
