experiment,o_observed,coverage_donor_none,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_ols,infinite_stdcp,infinite_hcp
17,10,0.72,0.66,0.8,0.76,4.52892941640169,4.870878680411831,10.973478620756978,4.9974397637467565,0,0,0,0
17,20,0.73,0.67,0.77,0.79,4.396829051570634,4.737168989166708,7.804204155721723,4.9974397637467565,0,0,0,0
17,30,0.78,0.82,0.79,0.81,4.193753379810457,5.392032281278267,5.623934264827454,4.9974397637467565,0,0,0,0
17,40,0.78,0.78,0.79,0.81,4.262739236784046,5.306559740773279,5.156487784729336,4.9974397637467565,0,0,0,0
17,50,0.81,0.74,0.78,0.89,4.233162298058952,5.124786063992441,4.976466113940193,4.9974397637467565,0,0,0,0
18,0,0.91,0.91,,0.91,5.649436869421057,5.649436869421057,,5.649436869421057,0,0,0,0
18,10,0.87,0.93,0.83,0.93,5.084120028556654,6.241385156382046,9.917875006866879,5.649436869421057,0,0,0,0
18,20,0.82,0.81,0.77,0.85,4.349361963199735,5.099310758715094,7.238378155998404,5.649436869421057,0,0,0,0
18,30,0.81,0.78,0.81,0.89,4.392924797416565,5.608022494988531,5.908708604303952,5.649436869421057,0,0,0,0
18,40,0.87,0.87,0.82,0.95,4.2913397082360945,5.059196179795467,4.970988154759578,5.649436869421057,0,0,0,0
18,50,0.8,0.78,0.79,0.87,4.2580005973348865,4.745458322995497,4.956236788266922,5.649436869421057,0,0,0,0
19,0,0.92,0.92,,0.92,5.73161077807266,5.73161077807266,,5.73161077807266,0,0,0,0
19,10,0.82,0.88,0.88,0.88,5.335649918679065,6.960960274751926,13.27623935834542,5.73161077807266,0,0,0,0
19,20,0.83,0.74,0.79,0.86,4.660270465455045,4.848404992985741,7.346705395597997,5.73161077807266,0,0,0,0
19,30,0.85,0.91,0.81,0.91,4.337534606644909,5.579061933811563,5.8636124696518985,5.73161077807266,0,0,0,0
19,40,0.85,0.88,0.86,0.93,4.369784077588651,5.290013129148646,5.613176879398615,5.73161077807266,0,0,0,0
19,50,0.82,0.84,0.82,0.91,4.199223874629738,5.025433893334794,4.868753885475613,5.73161077807266,0,0,0,0
