experiment,o_observed,coverage_donor_hcp_randomized,coverage_donor_hcp_derandomized,coverage_sample_hcp_randomized,coverage_sample_hcp_derandomized,coverage_stdcp,coverage_hcp,coverage_pool,coverage_sub,coverage_rep,width_donor_hcp_randomized,width_donor_hcp_derandomized,width_sample_hcp_randomized,width_sample_hcp_derandomized,width_stdcp,width_hcp,width_pool,width_sub,width_rep,infinite_donor_hcp_randomized,infinite_donor_hcp_derandomized,infinite_sample_hcp_randomized,infinite_sample_hcp_derandomized,infinite_stdcp,infinite_hcp,infinite_pool,infinite_sub,infinite_rep,test_sample_size_o
25,15,0.88,0.96,0.76,0.89,0.87,0.91,0.77,0.78,0.8,1.7191370602664016,2.43004211372613,1.4740194311567087,1.8444266137108505,2.8860829866456528,1.7881874917971716,1.4711464766945954,1.4980160354242966,1.540254761093575,0,0,0,0,0,0,0,0,0,15
25,20,0.87,0.96,0.73,0.89,0.79,0.91,0.77,0.78,0.8,1.6961467323389283,2.344808118636844,1.4213117481656339,1.8446887063932196,1.7269480535601867,1.7881874917971716,1.4711464766945954,1.4980160354242966,1.540254761093575,0,0,0,0,0,0,0,0,0,20
25,25,0.87,0.96,0.79,0.88,0.85,0.91,0.77,0.78,0.8,1.6961467323389283,2.260241297809097,1.4205627656024422,1.8446887063932196,2.0823992355140684,1.7881874917971716,1.4711464766945954,1.4980160354242966,1.540254761093575,0,0,0,0,0,0,0,0,0,25
25,30,0.85,0.95,0.73,0.88,0.78,0.91,0.77,0.78,0.8,1.6226878822398527,2.1473582309978223,1.416785327098967,1.8597356564840113,1.6415651874598354,1.7881874917971716,1.4711464766945954,1.4980160354242966,1.540254761093575,0,0,0,0,0,0,0,0,0,30
25,35,0.85,0.94,0.77,0.88,0.84,0.91,0.77,0.78,0.8,1.6226878822398527,2.0341208767338186,1.4273880583027672,1.8444266137108505,1.7465689680991108,1.7881874917971716,1.4711464766945954,1.4980160354242966,1.540254761093575,0,0,0,0,0,0,0,0,0,35
25,40,0.81,0.94,0.76,0.88,0.83,0.91,0.77,0.78,0.8,1.5491649116964572,1.9775382245136852,1.4175115238560387,1.844557660052035,1.5771170829363657,1.7881874917971716,1.4711464766945954,1.4980160354242966,1.540254761093575,0,0,0,0,0,0,0,0,0,40
26,0,0.9,0.97,0.8,0.99,1.0,0.9,0.81,0.46,0.83,1.6386563364007858,4.523488799223373,1.5383820332078706,3.2998963558538055,inf,1.6386563364007858,1.3295599885514093,0.6023174547148138,1.4311575719832408,0,0,0,0,100,0,0,0,0,0
26,5,0.89,0.97,0.81,0.91,0.75,0.9,0.81,0.46,0.83,1.6190050412063175,4.193143152653795,1.5310160005102524,2.021927232013166,1.8946164993350558,1.6386563364007858,1.3295599885514093,0.6023174547148138,1.4311575719832408,0,0,0,0,0,0,0,0,0,5
26,10,0.88,0.97,0.78,0.89,0.84,0.9,0.81,0.46,0.83,1.600352071588452,3.9502606236697835,1.4178597834479638,2.0570190461143043,4.963888006817471,1.6386563364007858,1.3295599885514093,0.6023174547148138,1.4311575719832408,0,0,0,0,0,0,0,0,0,10
26,15,0.88,0.96,0.8,0.89,0.91,0.9,0.81,0.46,0.83,1.567326373629454,3.8528515055059396,1.429222078253901,1.9922724710504665,3.172807965749307,1.6386563364007858,1.3295599885514093,0.6023174547148138,1.4311575719832408,0,0,0,0,0,0,0,0,0,15
