alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
0.2,HCP,5,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,HCP,10,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,HCP,15,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,HCP,20,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,Pooled-Income-Quantile,0,0.8,0.835,0.37136627864268035,0.011737759581794136,1000.0,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
0.2,Pooled-Income-Quantile,5,0.8,0.835,0.37136627864268035,0.011737759581794136,1000.0,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
0.2,Pooled-Income-Quantile,10,0.8,0.835,0.37136627864268035,0.011737759581794136,1000.0,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
0.2,Pooled-Income-Quantile,15,0.8,0.835,0.37136627864268035,0.011737759581794136,1000.0,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
0.2,Pooled-Income-Quantile,20,0.8,0.835,0.37136627864268035,0.011737759581794136,1000.0,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
0.2,Pooling,0,0.8,0.78,0.4144535821678609,0.01309961831505025,1000.0,102889.47086214708,20131.2311587696,636.605425650627,100491.290008203,88248.46621400176,115055.19864492839,55713.51175064049,171052.4126708198,1000.0,1000.0,0.0,1.0,0.0
0.2,Pooling,5,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,Pooling,10,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,Pooling,15,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,Pooling,20,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,Repeated,0,0.8,0.838,0.36863517451796685,0.011651437679531227,1000.0,128718.54536852158,23846.92013479102,754.1058280606916,127022.24683875244,111298.75608438451,143972.39776375837,70880.7797694887,207231.304010488,1000.0,1000.0,0.0,1.0,0.0
0.2,Repeated,5,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,Repeated,10,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,Repeated,15,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,Repeated,20,0.8,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.2,S-HCP,0,0.8,0.823,0.38185968210432586,0.012069424178476786,1000.0,128399.611827685,64416.15773012749,2037.0177654386482,117318.6239142044,83665.46986175011,160209.1630049713,31804.635296729415,848727.5033491198,1000.0,1000.0,0.0,1.0,0.0
0.2,S-HCP,5,0.8,0.813,0.39010663052963246,0.012330085157856779,1000.0,105798.58057699045,26308.096161326495,831.9350477252427,103219.93199845881,86841.93136315662,121714.8386592067,50725.82507636219,240591.66603610455,1000.0,1000.0,0.0,1.0,0.0
0.2,S-HCP,10,0.8,0.781,0.41377555535605315,0.013078187947877183,1000.0,96102.2424398019,19896.005246895875,629.1669291885169,93920.21283861551,81384.95506112327,107631.37119715047,47520.72741079089,188649.6614230137,1000.0,1000.0,0.0,1.0,0.0
0.2,S-HCP,15,0.8,0.793,0.4053582555164201,0.012812142677944232,1000.0,96063.02905223276,16870.95730943193,533.5065140527103,95504.9463129731,83577.71147402901,107245.74658275268,52328.97911632554,164777.3793388055,1000.0,1000.0,0.0,1.0,0.0
0.2,S-HCP,20,0.8,0.805,0.3963989557656934,0.012528966437819202,1000.0,92525.16917014858,15431.245645168914,487.9788337228825,91296.61470503511,81983.97168673069,101976.41964728059,46445.316841761945,154699.18713795271,1000.0,1000.0,0.0,1.0,0.0
