tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
5.0,0.1,20,46,14.81408287330102,0.954115869346293,1.1150597763371044,0.064406003227231,100,True
5.0,0.1,20,48,14.994301069679508,0.7609767071851979,2.2621323036453345,0.050751062263515244,100,True
5.0,0.1,20,49,26.14697498967254,3.616516091756067,6.132049789825386,0.13831489467460417,100,True
5.0,0.1,25,4,,,,,0,True
5.0,0.1,25,1,7.885539000241517,7.162499980128492e-15,0.0,9.08308231042814e-16,63,True
5.0,0.1,25,2,9.063916121194085,7.20343788209521e-15,1.8008594705238024e-15,7.947379240692074e-16,37,True
5.0,0.1,25,0,9.050330429481274,0.8647666670403906,1.5434041806549654,0.09555083914101413,72,True
5.0,0.1,25,3,6.203399524591657,0.3549013254060649,0.7614449789204161,0.05721077999235048,100,True
5.0,0.1,25,7,5.983027578296206,4.463264492478967e-16,8.926528984957934e-16,7.459876181533457e-17,100,True
5.0,0.1,25,5,9.738762279830308,0.3113937144003145,0.48814619537226533,0.03197467044094851,100,True
5.0,0.1,25,6,5.588224719600702,0.10851884279116633,0.14854772352388634,0.019419198088175733,61,True
5.0,0.1,25,8,7.025484309421899,0.8806709956378079,1.7803860192474923,0.12535377731279498,100,True
5.0,0.1,25,13,7.9836736355955065,0.27172755905921214,0.5156887550227628,0.03403540418382143,100,True
5.0,0.1,25,11,9.683913474472735,1.34327693703362,0.9048072068884927,0.13871219941964197,100,True
5.0,0.1,25,9,9.68642905764498,1.2761008178521382,2.0347264503962426,0.13174109986847837,100,True
5.0,0.1,25,14,8.274503658425166,0.5752106483860859,0.7574479141673046,0.06951603046309633,100,True
5.0,0.1,25,12,9.921051635936905,0.8513101984823829,1.534174003968031,0.08580846363088085,100,True
5.0,0.1,25,10,12.540335440212663,1.2578628520451347,1.6690552421351583,0.10030535929777357,100,True
5.0,0.1,25,15,7.671869221087935,0.14106170790610092,0.32417134673237824,0.018386875980414222,100,True
5.0,0.1,25,17,7.49117285421098,0.0,0.0,0.0,40,True
5.0,0.1,25,16,14.191700329615987,1.0083785200645219,3.5528654290600326,0.07105410180908235,100,True
5.0,0.1,25,19,8.30961205126032,0.5445854985801133,1.2390009711864716,0.06553681389945466,100,True
5.0,0.1,25,18,9.592147967569005,0.6019659286036546,1.1174288691982417,0.06275611371289286,80,True
5.0,0.1,25,22,,,,,0,True
5.0,0.1,25,23,7.185074378373556,1.0746591856228473e-14,8.955493213523727e-16,1.4956827571019686e-15,61,True
5.0,0.1,25,20,10.219045180607782,0.7273115195196279,1.0538065296208972,0.07117216008593581,100,True
5.0,0.1,25,24,8.784611928819348,1.5212266998143213,2.9148830998539674,0.17316948228796422,100,True
5.0,0.1,25,21,11.166462833438091,1.1872806200923245,0.4865534874460913,0.10632557845775478,100,True
5.0,0.1,25,25,7.622382585032426,0.18127172955187282,0.2883549826187651,0.02378150499921432,100,True
5.0,0.1,25,27,,,,,0,True
5.0,0.1,25,28,8.315857626405368,0.20090256142551347,0.45124607379135845,0.0241589707822302,100,True
