tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
5.0,0.05,4,30,Std-CP,0.97,6.371685882326902,5.9616485849422585,1.9174881541721531,0,12345
5.0,0.05,4,30,Subsampling,1.0,,,,100,12345
5.0,0.05,4,35,Donor-HCP-no-within,0.98,17.81095389065152,16.24770072200853,7.169856050819655,0,12345
5.0,0.05,4,35,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,4,35,HCP,1.0,,,,100,12345
5.0,0.05,4,35,Pooling,0.99,34.55849535903543,34.55849535903543,0.0,0,12345
5.0,0.05,4,35,Repeated,1.0,,,,100,12345
5.0,0.05,4,35,S-HCP-within,1.0,,,,100,12345
5.0,0.05,4,35,Std-CP,0.96,6.206726598484701,5.84730899916196,1.9303199767554844,0,12345
5.0,0.05,4,35,Subsampling,1.0,,,,100,12345
5.0,0.05,5,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,5,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,5,0,HCP,1.0,,,,100,12345
5.0,0.05,5,0,Pooling,0.8,16.115571180651806,16.115571180651806,6.184480694873352e-16,0,12345
5.0,0.05,5,0,Repeated,1.0,,,,100,12345
5.0,0.05,5,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,5,0,Std-CP,1.0,,,,100,12345
5.0,0.05,5,0,Subsampling,1.0,,,,100,12345
5.0,0.05,5,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,5,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,5,5,HCP,1.0,,,,100,12345
5.0,0.05,5,5,Pooling,0.8,16.115571180651806,16.115571180651806,6.184480694873352e-16,0,12345
5.0,0.05,5,5,Repeated,1.0,,,,100,12345
5.0,0.05,5,5,S-HCP-within,0.99,16.343906097032274,16.425868252951418,1.1254429120272853,0,12345
5.0,0.05,5,5,Std-CP,0.73,6.573829781927503,5.44730845021953,4.577368908890877,0,12345
5.0,0.05,5,5,Subsampling,1.0,,,,100,12345
5.0,0.05,5,10,Donor-HCP-no-within,1.0,28.005461340531156,28.893239829023365,1.7286884217872749,0,12345
5.0,0.05,5,10,Donor-HCP-within,1.0,20.665987835513327,20.16286830941324,0.5373014723963858,77,12345
