method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
Pooling,0,0.175,0.825,0.813,0.012330085157856779,0.39010663052963246,1000.0
Pooling,5,0.175,0.825,,,,0.0
Pooling,10,0.175,0.825,,,,0.0
Pooling,15,0.175,0.825,,,,0.0
Pooling,20,0.175,0.825,,,,0.0
Repeated,0,0.175,0.825,0.916,0.008771772910877251,0.2775266131761439,1000.0
Repeated,5,0.175,0.825,,,,0.0
Repeated,10,0.175,0.825,,,,0.0
Repeated,15,0.175,0.825,,,,0.0
Repeated,20,0.175,0.825,,,,0.0
S-HCP,0,0.175,0.825,0.903,0.009359006357514668,0.296105857217784,1000.0
S-HCP,5,0.175,0.825,1.0,0.0,0.0,1000.0
S-HCP,10,0.175,0.825,1.0,0.0,0.0,1000.0
S-HCP,15,0.175,0.825,1.0,0.0,0.0,1000.0
S-HCP,20,0.175,0.825,1.0,0.0,0.0,1000.0
Std-CP,0,0.175,0.825,1.0,0.0,0.0,1000.0
Std-CP,5,0.175,0.825,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.175,0.825,0.791,0.012857643641040918,0.40679784228100874,1000.0
Std-CP,15,0.175,0.825,0.802,0.012601428490452976,0.3986915536538929,1000.0
Std-CP,20,0.175,0.825,0.808,0.01245536029185828,0.3940701603665156,1000.0
Subsampling,0,0.175,0.825,0.9,0.009486832980505136,0.3001501125938321,1000.0
Subsampling,5,0.175,0.825,,,,0.0
Subsampling,10,0.175,0.825,,,,0.0
Subsampling,15,0.175,0.825,,,,0.0
Subsampling,20,0.175,0.825,,,,0.0
D-HCP,0,0.2,0.8,0.8955555555555554,0.009671390927324565,0.06294649554249705,1000.0
D-HCP,5,0.2,0.8,0.869074074074074,0.010666973696712904,0.07087961390461095,1000.0
D-HCP,10,0.2,0.8,0.8532962962962963,0.01118846401537403,0.0733988335091411,1000.0
D-HCP,15,0.2,0.8,0.8324074074074074,0.011811236831961584,0.07881062804689018,1000.0
D-HCP,20,0.2,0.8,0.8053333333333332,0.01252084484192483,0.08456844110767488,1000.0
HCP,0,0.2,0.8,0.8848518518518519,0.010094010705670974,0.06489613088698275,1000.0
HCP,5,0.2,0.8,,,,0.0
HCP,10,0.2,0.8,,,,0.0
HCP,15,0.2,0.8,,,,0.0
HCP,20,0.2,0.8,,,,0.0
Pooled-Income-Quantile,0,0.2,0.8,0.999,0.0009994998749374613,0.0316227766016838,1000.0
Pooled-Income-Quantile,5,0.2,0.8,0.999,0.0009994998749374613,0.0316227766016838,1000.0
Pooled-Income-Quantile,10,0.2,0.8,0.999,0.0009994998749374613,0.0316227766016838,1000.0
Pooled-Income-Quantile,15,0.2,0.8,0.999,0.0009994998749374613,0.0316227766016838,1000.0
Pooled-Income-Quantile,20,0.2,0.8,0.999,0.0009994998749374613,0.0316227766016838,1000.0
Pooling,0,0.2,0.8,0.7934074074074073,0.012802815833966514,0.08299054548873058,1000.0
Pooling,5,0.2,0.8,,,,0.0
Pooling,10,0.2,0.8,,,,0.0
Pooling,15,0.2,0.8,,,,0.0
Pooling,20,0.2,0.8,,,,0.0
Repeated,0,0.2,0.8,0.9093703703703703,0.009078320321668864,0.05810983230012601,1000.0
Repeated,5,0.2,0.8,,,,0.0
Repeated,10,0.2,0.8,,,,0.0
Repeated,15,0.2,0.8,,,,0.0
Repeated,20,0.2,0.8,,,,0.0
S-HCP,0,0.2,0.8,0.8797777777777778,0.010284397867944085,0.06368260245309944,1000.0
S-HCP,5,0.2,0.8,0.7944814814814816,0.012778131986502246,0.0813840109558963,1000.0
S-HCP,10,0.2,0.8,0.8044814814814816,0.012541571968251914,0.07996759306599957,1000.0
S-HCP,15,0.2,0.8,0.796,0.012742998077375669,0.08532390671990374,1000.0
S-HCP,20,0.2,0.8,0.8018148148148148,0.012605864411388022,0.08237511431970723,1000.0
Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
Std-CP,5,0.2,0.8,0.7484074074074074,0.013722017342400144,0.0810505434267206,1000.0
Std-CP,10,0.2,0.8,0.8366666666666668,0.011689976713216988,0.07173770669554766,1000.0
Std-CP,15,0.2,0.8,0.8881481481481481,0.009966996292221806,0.05951544372179519,1000.0
Std-CP,20,0.2,0.8,0.8187407407407407,0.012182132005196954,0.07605662626721532,1000.0
Subsampling,0,0.2,0.8,0.8783333333333333,0.010337499160284798,0.11833308979852632,1000.0
Subsampling,5,0.2,0.8,,,,0.0
Subsampling,10,0.2,0.8,,,,0.0
Subsampling,15,0.2,0.8,,,,0.0
Subsampling,20,0.2,0.8,,,,0.0
