method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
Pooled-Income-Quantile,0,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.15,0.85,174813.6570032074,2575.512440160958,81444.85453006746,172434.97778221557,106917.8265603001,239057.92050625314,17014.650944286575,453842.1845144733,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.15,0.85,275235.4119558588,4120.328694417504,130296.2338290722,268977.9144563585,166164.7877708901,367124.5891808496,25291.96561822088,712734.7929839754,1000.0,1000.0,0.0,1.0,0.0
Repeated,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.15,0.85,293734.47449602984,6960.411469150897,220107.5369447565,234367.6600293492,141160.86756582727,387302.92287554784,19949.63278027533,1712777.0049225877,1000.0,1000.0,0.0,1.0,0.0
S-HCP,5,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,10,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,15,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,20,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,0,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.15,0.85,206019.61600041582,6324.462542740801,199997.0661148094,143962.1087971392,84791.07832323166,245402.99667006588,8237.767322928787,1932429.3861427037,1000.0,1000.0,0.0,1.0,0.0
Std-CP,10,0.15,0.85,186373.4665312916,4409.91390283916,139453.72218214226,145677.50178585213,96044.61457299827,228636.19342650933,11159.79788553411,866757.1376692767,1000.0,1000.0,0.0,1.0,0.0
Std-CP,15,0.15,0.85,179260.48622427863,4057.691722651854,128315.47886392105,144517.88678443074,97510.04459022771,216716.23695046332,21680.11845606268,597138.1285922555,1000.0,1000.0,0.0,1.0,0.0
Std-CP,20,0.15,0.85,218724.29082613855,4899.670395834979,154941.18234937315,169361.64653097614,110701.81615542757,279001.49188480596,32615.830333096783,927203.1441645093,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.15,0.85,290525.2208841067,6491.521008974362,205279.91867193324,238525.1107064892,141545.1617535818,382747.38362755557,21264.133671890733,1687793.1489445465,1000.0,1000.0,0.0,1.0,0.0
Subsampling,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Subsampling,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
D-HCP,0,0.175,0.825,235497.04988508302,3524.3220840230997,111448.84993544314,232265.47106155322,144548.32880001623,315874.0934707081,21599.39625115345,724430.875689614,1000.0,1000.0,0.0,1.0,0.0
D-HCP,5,0.175,0.825,198511.69878221367,2951.786010772088,93343.66959462113,188634.07221677518,124494.73414551036,260383.5278758721,30912.11942020055,597163.0415963792,1000.0,1000.0,0.0,1.0,0.0
D-HCP,10,0.175,0.825,181380.64112589526,2664.416308910767,84256.2417105681,171298.9851158143,115839.26498846665,232915.5612879402,37229.71656284849,584655.882793906,1000.0,1000.0,0.0,1.0,0.0
D-HCP,15,0.175,0.825,171104.6762861793,2508.765894122506,79334.14341575949,160341.36160235738,107484.31095337583,221563.62700784183,38891.8452012766,485141.9987530634,1000.0,1000.0,0.0,1.0,0.0
D-HCP,20,0.175,0.825,158954.63801259096,2312.72893078432,73134.91031844357,149461.50109431165,101787.97416690983,204954.90380857774,37698.67036692166,429423.34060368733,1000.0,1000.0,0.0,1.0,0.0
HCP,0,0.175,0.825,225867.59476162682,3379.293465937485,106862.64234487082,223355.6821964334,137028.1403608863,305099.65600569686,22042.170344134625,567039.7919838962,1000.0,1000.0,0.0,1.0,0.0
