yoep_min,min_income,trim2,min_puma_size,n_rows,n_pumas_eligible,median_n,min_n,max_abs_rho,mean_abs_rho,n_sig,rho_ba,p_ba
2006,10000,0.0,30,6623,69,43.0,30,0.45397054688199784,0.2454010143122383,2,0.45397054688199784,8.933023180493259e-05
2006,0,0.02,31,6833,70,45.5,31,0.4701784045453014,0.23037247854880208,2,0.4701784045453014,4.009966161878307e-05
2006,0,0.0,31,6941,71,46.0,31,0.4759680181591653,0.24844139361100823,4,0.4759680181591653,2.7257708635151413e-05
2010,0,0.0,30,4476,39,39.0,30,0.4886666140757221,0.2507582947831468,2,0.4886666140757221,0.001597042584391615
2009,0,0.0,30,4963,42,41.5,31,0.498580024231283,0.23065049541512006,2,0.498580024231283,0.0007779417451665184
2009,0,0.0,31,4963,42,41.5,31,0.498580024231283,0.23065049541512006,2,0.498580024231283,0.0007779417451665184
2007,0,0.0,30,6262,61,44.0,30,0.49943779253770004,0.28715647762712276,3,0.49943779253770004,4.176089767681636e-05
2006,10000,0.02,30,6521,67,43.0,30,0.5004345420391694,0.2658001169372654,3,0.5004345420391694,1.6148220417056035e-05
2007,0,0.02,31,6167,57,44.0,31,0.5041934601045116,0.2794159368044403,2,0.5041934601045116,6.36849821535736e-05
2009,0,0.02,30,4883,41,40.0,32,0.5042328573450408,0.23902276137278666,3,0.5042328573450408,0.0007754384310848522
2009,0,0.02,31,4883,41,40.0,32,0.5042328573450408,0.23902276137278666,3,0.5042328573450408,0.0007754384310848522
2007,0,0.0,31,6262,58,44.0,31,0.5096761257302705,0.28893892019661227,2,0.5096761257302705,4.381540991482701e-05
2009,10000,0.02,30,4635,41,38.0,30,0.5102732228249505,0.24386079577096104,3,0.5102732228249505,0.0006535099850582398
2011,0,0.02,30,3887,27,39.0,30,0.5112523049350512,0.257448285687152,1,0.5112523049350512,0.006421198927841814
2006,10000,0.0,31,6623,65,44.0,31,0.5130006061205387,0.273139502875531,2,0.5130006061205387,1.2457637976722482e-05
2006,10000,0.02,31,6521,64,44.5,31,0.5147691156274348,0.2727299201790228,3,0.5147691156274348,1.3500646899343576e-05
2012,10000,0.0,30,3268,18,36.0,31,0.5191754446255177,0.255775434369118,1,0.4549261880051942,0.05784140933830565
2012,10000,0.0,31,3268,18,36.0,31,0.5191754446255177,0.255775434369118,1,0.4549261880051942,0.05784140933830565
2011,10000,0.02,30,3669,23,37.0,30,0.5225369343636583,0.26113948867499565,1,0.5225369343636583,0.010527264101051703
2011,10000,0.0,31,3726,23,38.0,31,0.5231864522456688,0.2158447069103043,1,0.5231864522456688,0.01041431864211937
2007,10000,0.02,30,5868,56,43.0,30,0.5288012727665816,0.28645470749567853,3,0.5288012727665816,2.7944159688113344e-05
2008,0,0.0,30,5586,50,42.5,30,0.5289808223315714,0.27846038786035293,3,0.5289808223315714,7.835965189504967e-05
2007,0,0.02,30,6167,58,44.0,30,0.5294291901335694,0.2905264407175966,2,0.5294291901335694,1.9271333011510995e-05
