puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_SomeCollege,english_mean,prop_cow_1.0,prop_cow_2.0,prop_cow_3.0,prop_cow_4.0,resid_mean,resid_sd,resid_q25,resid_median,resid_q75,prop_educ_<HS,prop_cow_6.0,prop_educ_HS,prop_cow_5.0,prop_cow_7.0,prop_cow_8.0
8105,24,32.75,5.817888456042838,43.833333333333336,6.565169401878547,2.875,1.918162617216527,1105.0,397.8632056810263,0.375,0.625,0.8333333333333334,0.125,1.3333333333333333,0.9583333333333334,0.041666666666666664,,,14332.233778460564,65075.89330101968,-32913.73352653725,11554.176541045876,57179.54268585599,0.041666666666666664,,,,,
8501,88,34.32954545454545,6.746172334763168,43.875,7.748655797405552,2.3181818181818183,1.9030855438607663,1223.5113636363637,486.24183932089295,0.3409090909090909,0.6363636363636364,0.9431818181818182,0.03409090909090909,1.3977272727272727,0.7840909090909091,0.14772727272727273,0.011363636363636364,0.022727272727272728,14873.89977475208,58181.7611934737,-25066.212691730645,10567.306724062248,51401.35207199886,0.011363636363636364,,0.011363636363636364,,0.03409090909090909,
8502,122,32.049180327868854,5.280327530250112,41.368852459016395,4.128515671215655,3.1475409836065573,1.8793006046849643,1054.8032786885246,366.63868852460956,0.27049180327868855,0.6475409836065574,0.9180327868852459,0.04918032786885246,1.3770491803278688,0.9672131147540983,0.02459016393442623,,,13265.808296944686,47416.36791158727,-16924.31522842597,12070.218308559633,42390.49716127749,0.01639344262295082,,0.01639344262295082,,0.00819672131147541,
8503,109,31.137614678899084,4.756025203785383,41.65137614678899,5.332250144845376,3.256880733944954,1.9786062702521028,991.9633027522935,333.18118546002324,0.3486238532110092,0.6972477064220184,0.9908256880733946,0.009174311926605505,1.2660550458715596,0.9357798165137615,0.03669724770642202,,,6688.240648055835,53455.2332358603,-24571.80728312413,8909.175283915014,32065.82043669137,,0.01834862385321101,,,0.009174311926605505,
8504,65,32.41538461538462,5.364502270983266,41.89230769230769,4.0969618199156015,3.3846153846153846,2.0209241983272443,1079.0923076923077,377.05104607487016,0.4461538461538462,0.6461538461538462,0.8615384615384616,0.03076923076923077,1.4461538461538461,0.9538461538461539,,0.015384615384615385,,13174.784681467021,43364.83637364063,-12945.464842252026,11950.756815898465,37533.41575286031,0.03076923076923077,0.03076923076923077,0.07692307692307693,,,
8507,28,37.142857142857146,4.904376622253847,42.5,5.69275042553311,3.392857142857143,1.872595459946904,1402.7857142857142,359.2595633555687,0.25,0.9285714285714286,1.0,,1.25,0.8928571428571429,,0.07142857142857142,0.03571428571428571,30526.391908991798,55877.043402544004,2787.450054126981,24761.34855080815,45582.92811566335,,,,,,
8508,33,37.96969696969697,6.729064053068823,42.84848484848485,6.245604514982977,3.6666666666666665,1.8819316317727026,1485.6060606060605,513.7573563581559,0.36363636363636365,0.8787878787878788,0.9393939393939394,0.030303030303030304,1.4848484848484849,0.9393939393939394,,,,29069.535237016073,62155.56027585107,-3243.6351239340147,21827.10884884582,62475.17653851048,,,0.030303030303030304,0.030303030303030304,0.030303030303030304,
8509,33,31.545454545454547,5.2206974455700665,43.63636363636363,7.317864194123608,2.696969696969697,1.8789100644530674,1021.5454545454545,355.9183623835924,0.21212121212121213,0.48484848484848486,0.8484848484848485,,1.303030303030303,0.9090909090909091,0.06060606060606061,,,-5616.862958242707,43623.87225861071,-38014.36396793468,-19023.72391391726,26806.95928280236,0.06060606060606061,,0.09090909090909091,0.030303030303030304,,
8510,30,34.06666666666667,7.2489396767238725,43.0,5.813183589761798,3.1333333333333333,1.8888663510036976,1211.3333333333333,555.8948879390614,0.43333333333333335,0.7333333333333333,0.6333333333333333,0.03333333333333333,2.033333333333333,0.9,0.06666666666666667,,,2555.026587861882,35200.89580810827,-22504.38852539794,751.5361353933695,25155.1212840156,0.2,0.03333333333333333,0.13333333333333333,,,
8511,21,36.23809523809524,7.582247436642793,42.80952380952381,6.021785844905544,3.9523809523809526,1.532194193834139,1367.952380952381,586.5640183467168,0.3333333333333333,0.9047619047619048,0.8095238095238095,0.19047619047619047,1.4285714285714286,1.0,,,,4059.5490882562062,74704.37971636561,-43185.659134290705,-14584.090614279092,26630.827615251706,,,,,,
