dataset,alpha,nominal_coverage,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,coverage_mean,n_finite,n_reruns,base_seed
fixedN21,0.075,0.925,10,1,8.816683765143042,0.42279405646917695,1.0585154107261596,0.04795386425684255,1.0,50,50,456
fixedN21,0.075,0.925,10,6,9.057887233352684,0.1444273565990912,0.16764875552070577,0.01594492765015721,1.0,50,50,456
fixedN21,0.075,0.925,10,0,7.918236586542364,0.44152842115431495,0.43355669703435723,0.05576095338003989,1.0,50,50,456
fixedN21,0.075,0.925,10,3,8.43545423210977,0.47400653376617086,0.7201137451347104,0.0561921765827207,1.0,50,50,456
fixedN21,0.075,0.925,10,2,7.977791856026279,0.5501489554315172,1.0692810016881567,0.0689600537792854,1.0,50,50,456
fixedN21,0.075,0.925,10,5,7.0770716279995565,0.22835316547990922,0.4388465005322045,0.03226661781639432,1.0,50,50,456
fixedN21,0.075,0.925,10,4,9.042479544293549,0.4929001550636096,0.9292981714556381,0.05450940227723986,1.0,50,50,456
fixedN21,0.075,0.925,10,9,8.059933385413645,0.2589364317706532,0.5422873023081669,0.032126373679373064,0.06,50,50,456
fixedN21,0.075,0.925,5,23,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,10,8,8.787856727447188,0.1986586617552318,0.3735460063593318,0.022606042396521954,1.0,50,50,456
fixedN21,0.075,0.925,5,24,,0.0,0.0,,1.0,0,50,456
fixedN21,0.075,0.925,10,7,8.596065074930022,0.303323280204283,0.38918127518688556,0.035286294084593384,1.0,50,50,456
fixedN21,0.075,0.925,10,10,6.588377268374213,0.157823499097105,0.8121623885531047,0.023954836322852297,1.0,50,50,456
fixedN21,0.075,0.925,10,11,8.56563987281837,0.33399384358677503,0.6267484205585007,0.03899228178465088,1.0,50,50,456
fixedN21,0.075,0.925,10,12,8.334876136466319,0.23898901337068085,0.6651941915976733,0.028673373120095748,1.0,50,50,456
fixedN21,0.075,0.925,10,13,7.950185739379794,0.6829650282396248,0.5468272284007711,0.08590554367260657,1.0,50,50,456
fixedN21,0.075,0.925,10,23,7.4432675270514315,0.1380117358277579,0.22354790190193247,0.01854182122652116,1.0,50,50,456
fixedN21,0.075,0.925,15,3,6.418651567675079,0.43839432193068156,0.24416634503799012,0.06830006541225508,1.0,50,50,456
fixedN21,0.075,0.925,10,22,8.540786254174082,0.45954617529809144,0.4613472913599175,0.05380607377611171,1.0,50,50,456
fixedN21,0.075,0.925,10,14,6.5114649322935625,0.1072180482691242,0.0965484599120517,0.01646604095760035,1.0,50,50,456
fixedN21,0.075,0.925,15,2,6.592856197532296,0.39797277787804225,0.3351299981040893,0.060364243653153446,1.0,50,50,456
fixedN21,0.075,0.925,10,15,7.689571485516297,0.175572057862895,0.3352633495639775,0.022832489195736588,1.0,50,50,456
fixedN21,0.075,0.925,10,16,7.194991993250295,0.07395838692359392,0.12952957523751582,0.010279147911905272,1.0,50,50,456
fixedN21,0.075,0.925,15,0,6.688421792852084,0.2516406718048413,0.28640179901738255,0.03762332574087502,1.0,50,50,456
fixedN21,0.075,0.925,10,21,7.366968102987543,0.13962241878111908,0.32633495029015924,0.018952494001500793,1.0,50,50,456
fixedN21,0.075,0.925,10,17,7.366137837393914,0.3569976713770883,0.4987870863441852,0.04846470148370065,1.0,50,50,456
fixedN21,0.075,0.925,10,20,7.4642680723308645,0.35678220826966145,0.43488234526766806,0.04779868632963623,1.0,50,50,456
fixedN21,0.075,0.925,15,1,6.829998643515385,0.24354180208037807,0.292476104002286,0.035657664780300406,1.0,50,50,456
fixedN21,0.075,0.925,10,18,7.588506575941359,0.7186716052152766,1.604169086322975,0.09470527540870252,1.0,50,50,456
fixedN21,0.075,0.925,10,24,8.35669575181319,0.33201828910443504,0.08758393515368566,0.03973080975604449,1.0,50,50,456
fixedN21,0.075,0.925,10,19,6.3551136738481695,0.16566099111757468,0.265324811085565,0.026067352941188712,1.0,50,50,456
fixedN21,0.075,0.925,15,4,7.110444025510517,0.21348019150082997,0.6990240543223172,0.030023468398726688,1.0,50,50,456
fixedN21,0.075,0.925,15,5,6.864122903465633,0.18200531825365274,0.30281089282516915,0.026515451546148733,1.0,50,50,456
fixedN21,0.075,0.925,15,8,6.61475327444722,0.29288141524677297,0.37515488175549,0.0442769976588807,0.88,50,50,456
fixedN21,0.075,0.925,15,9,6.9155132011449885,0.2737409092214353,0.5833119594856458,0.039583600126179,1.0,50,50,456
fixedN21,0.075,0.925,15,10,7.026930815810929,0.18271573967385712,0.4884635354442864,0.026002211273055086,1.0,50,50,456
fixedN21,0.075,0.925,15,7,5.928778354985867,0.280035339299828,0.15362549160483283,0.04723322791521282,1.0,50,50,456
fixedN21,0.075,0.925,15,6,5.961998590738627,0.4626627916934257,0.5788283200968435,0.07760196260564811,1.0,50,50,456
fixedN21,0.075,0.925,15,11,6.569244534781785,0.21782780688499506,0.3312803592503349,0.03315873016016914,1.0,50,50,456
fixedN21,0.075,0.925,15,14,6.525265585575028,0.1855078432444187,0.2391929150773625,0.028429163658029277,1.0,50,50,456
fixedN21,0.075,0.925,15,18,6.619093260458989,0.30435971200647327,0.4449732987569384,0.045982085465489875,1.0,50,50,456
fixedN21,0.075,0.925,15,13,6.665674437875896,0.32872297748532664,0.40140002969163724,0.049315786504280354,1.0,50,50,456
fixedN21,0.075,0.925,15,16,6.4889871182796,0.13915661972875448,0.1588220605800428,0.02144504484170536,1.0,50,50,456
fixedN21,0.075,0.925,15,15,6.296599010021732,0.26300306451856426,0.3522159066751385,0.04176906677715475,1.0,50,50,456
fixedN21,0.075,0.925,15,19,5.578376468420115,0.23476122549038814,0.21101686256134616,0.04208414882347951,1.0,50,50,456
fixedN21,0.075,0.925,15,17,8.102932703374695,1.327940802837156,1.3308690371213376,0.163883972809511,1.0,50,50,456
fixedN21,0.075,0.925,15,12,7.1114971438863925,0.13098593802829234,0.18199503711730103,0.01841889764954743,1.0,50,50,456
fixedN21,0.075,0.925,15,20,7.812827967586387,0.22152156548108254,0.4323387010969065,0.02835357010292869,1.0,50,50,456
