method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n,alpha,nominal_coverage,coverage_se_plot,source
Subsampling,0,1.0,0.0,0.0,,,,1000,0.075,0.925,0.0,permuted_rows
Donor-HCP,0,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
Donor-HCP,5,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
Donor-HCP,10,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
Donor-HCP,15,0.988,0.108939744206914,0.0034432542746651,592374.1348164778,669589.0967878494,388201.1957860086,1000,0.05,0.95,0.0034432542746651,permuted_rows
Donor-HCP,20,0.951,0.2159760302571691,0.0068263460211155,305251.2324430519,354315.39375506365,209685.65746598516,1000,0.05,0.95,0.0068263460211155,permuted_rows
HCP,0,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
Pooled-Income-Quantile,0,0.926,0.2619018758859749,0.0082779224446717,238000.0,238000.0,0.0,1000,0.05,0.95,0.0082779224446717,permuted_rows
Pooled-Income-Quantile,5,0.926,0.2619018758859749,0.0082779224446717,238000.0,238000.0,0.0,1000,0.05,0.95,0.0082779224446717,permuted_rows
Pooled-Income-Quantile,10,0.926,0.2619018758859749,0.0082779224446717,238000.0,238000.0,0.0,1000,0.05,0.95,0.0082779224446717,permuted_rows
Pooled-Income-Quantile,15,0.926,0.2619018758859749,0.0082779224446717,238000.0,238000.0,0.0,1000,0.05,0.95,0.0082779224446717,permuted_rows
Pooled-Income-Quantile,20,0.926,0.2619018758859749,0.0082779224446717,238000.0,238000.0,0.0,1000,0.05,0.95,0.0082779224446717,permuted_rows
Pooling,0,0.931,0.2535809600567505,0.0080149235804217,298746.12778893777,303047.1566443508,143400.472222878,1000,0.05,0.95,0.0080149235804217,permuted_rows
Repeated,0,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
S-HCP,0,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
S-HCP,5,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
S-HCP,10,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
S-HCP,15,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
S-HCP,20,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
Std-CP,0,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
Std-CP,5,0.775,0.4177912750998392,0.0132051126462442,143962.1087971392,206019.61600041584,199997.0661148094,1000,0.05,0.95,0.0132051126462442,permuted_rows
Std-CP,10,0.907,0.290577761426155,0.009184280047995,221753.96208609408,321544.9190705471,289322.2373454033,1000,0.05,0.95,0.009184280047995,permuted_rows
Std-CP,15,0.939,0.239450070654273,0.0075682891065286,274506.6740266282,399281.6352490529,353771.2417703507,1000,0.05,0.95,0.0075682891065286,permuted_rows
Std-CP,20,0.956,0.2051977244174655,0.0064856765260071,300113.7322790817,444544.9627015302,366715.84207276994,1000,0.05,0.95,0.0064856765260071,permuted_rows
Subsampling,0,1.0,0.0,0.0,,,,1000,0.05,0.95,0.0,permuted_rows
