test_state,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
GA,50,36,HCP,1,2.2537646510347678,0,10.496729867488792,12.75049451852356,11.87757552297847,11.623612193006176,25,788,40
GA,50,36,Pooling,1,1.9912474819854324,0,10.62798845201346,12.619235933998892,11.87757552297847,11.623612193006176,25,788,40
GA,50,36,Subsampling,1,2.4916480210187366,0,10.377788182496808,12.869436203515544,11.87757552297847,11.623612193006176,25,788,40
GA,50,36,Repeated,1,2.290091006530517,0,10.478566689740918,12.768657696271434,11.87757552297847,11.623612193006176,25,788,40
GA,75,16,HCP++,1,2.310170650621238,0,10.004165083893959,12.314335734515197,11.002116507732017,11.159250409204578,25,788,40
GA,75,16,HCP.sample,1,1.3887539854636586,0,10.333066039995053,11.721820025458712,11.002116507732017,11.159250409204578,25,788,40
GA,75,16,HCP,1,2.2537646510347678,0,10.562307885725495,12.816072536760263,11.002116507732017,11.68919021124288,25,788,40
GA,75,16,Pooling,1,1.9912474819854324,0,10.693566470250163,12.684813952235595,11.002116507732017,11.68919021124288,25,788,40
GA,75,16,Subsampling,1,2.7909171180250922,0,10.293731652230333,13.084648770255425,11.002116507732017,11.68919021124288,25,788,40
GA,75,16,Repeated,1,2.2537646510347678,0,10.562307885725495,12.816072536760263,11.002116507732017,11.68919021124288,25,788,40
IA,0,2,HCP++,1,2.2672457787454228,0,10.585375049888656,12.852620828634079,12.100717685412471,11.718997939261367,25,788,7
IA,0,2,HCP.sample,1,2.4892180376292075,0,10.462749198227245,12.951967235856452,12.100717685412471,11.718997939261367,25,788,7
IA,0,2,HCP,1,2.2537646510347678,0,10.581832767646278,12.835597418681045,12.100717685412471,11.708715093163661,25,788,7
IA,0,2,Pooling,1,1.9912474819854324,0,10.713091352170945,12.704338834156378,12.100717685412471,11.708715093163661,25,788,7
IA,0,2,Subsampling,1,2.4916480210187366,0,10.462891082654293,12.95453910367303,12.100717685412471,11.708715093163661,25,788,7
IA,0,2,Repeated,1,2.2537646510347678,0,10.581832767646278,12.835597418681045,12.100717685412471,11.708715093163661,25,788,7
IA,25,7,HCP++,1,1.8226845905293274,0,10.43186332732229,12.254547917851617,10.819798284210286,11.343205622586954,25,788,7
IA,25,7,HCP.sample,1,1.082300410329676,0,10.261025319695902,11.343325730025578,10.819798284210286,11.343205622586954,25,788,7
IA,25,7,HCP,1,2.2537646510347678,0,10.48777139149738,12.741536042532148,10.819798284210286,11.614653717014765,25,788,7
IA,25,7,Pooling,1,1.9912474819854324,0,10.619029976022048,12.61027745800748,10.819798284210286,11.614653717014765,25,788,7
IA,25,7,Subsampling,1,2.290091006530517,0,10.469608213749506,12.759699220280023,10.819798284210286,11.614653717014765,25,788,7
IA,25,7,Repeated,1,2.249439739269146,0,10.489933847380192,12.739373586649338,10.819798284210286,11.614653717014765,25,788,7
IA,50,1,HCP++,1,2.267047971351822,0,10.460319669638862,12.727367640990684,10.62135173563291,11.593843655314773,25,788,7
IA,50,1,HCP.sample,0,1.8924580888063147,0,10.650876456530398,12.543334545336712,10.62135173563291,11.593843655314773,25,788,7
IA,50,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,7
IA,50,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,7
IA,50,1,Subsampling,1,2.4916480210187366,0,10.351281490424187,12.842929511442923,10.62135173563291,11.597105500933555,25,788,7
