experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
27,10,0.81,0.79,0.82,0.84,1.5733621678336585,1.5661398538759137,4.6660137854830905,1.7332650011087756,0,0,0,0
27,20,0.81,0.85,0.83,0.92,1.6160359151510066,1.397644560352539,2.121587351863857,1.7332650011087756,0,0,0,0
27,30,0.75,0.83,0.84,0.9,2.3661242145360646,1.4223471637769465,1.628577191227489,1.7332650011087756,0,0,0,0
27,40,0.78,0.83,0.83,0.88,2.295080390441737,1.4010066958596519,1.5960596004353802,1.7332650011087756,0,0,0,0
27,50,0.81,0.82,0.84,0.9,2.2477075014274597,1.4142521396183825,1.4818365499090664,1.7332650011087756,0,0,0,0
28,0,0.84,0.84,,0.84,1.6331019404124172,1.6331019404124172,,1.6331019404124172,0,0,0,0
28,10,0.86,0.84,0.83,0.88,1.6914423133040173,1.473644559826884,4.842645642110062,1.6331019404124172,0,0,0,0
28,20,0.75,0.77,0.84,0.85,1.6280254966515586,1.4040542897032444,1.811917541088156,1.6331019404124172,0,0,0,0
28,30,0.82,0.85,0.86,0.88,2.3178915295785143,1.3263650552868376,1.562539305976582,1.6331019404124172,0,0,0,0
28,40,0.85,0.82,0.86,0.87,2.351119750124817,1.5628001990469396,1.6235188223983976,1.6331019404124172,0,0,0,0
28,50,0.82,0.83,0.8,0.87,2.2534007657087844,1.4332259042448545,1.575942270446657,1.6331019404124172,0,0,0,0
29,0,0.87,0.87,,0.87,1.6670852521638524,1.6670852521638524,,1.6670852521638524,0,0,0,0
29,10,0.81,0.8,0.83,0.85,1.6686375235762654,1.5778874846928028,4.610392263703132,1.6670852521638524,0,0,0,0
29,20,0.74,0.79,0.82,0.85,1.487376916105394,1.4244534978399117,2.0291968565611094,1.6670852521638524,0,0,0,0
29,30,0.79,0.8,0.83,0.88,2.162132713163392,1.3935017850999019,1.5605837080985425,1.6670852521638524,0,0,0,0
29,40,0.82,0.81,0.75,0.84,2.359512598102647,1.3341769680972746,1.6410213437611643,1.6670852521638524,0,0,0,0
29,50,0.76,0.85,0.86,0.85,2.2732770554849755,1.473057891360918,1.5030722739533575,1.6670852521638524,0,0,0,0
30,0,0.97,0.97,,0.97,2.083891472815084,2.083891472815084,,2.083891472815084,0,0,0,0
30,10,0.92,0.86,0.88,0.93,1.9472879473549258,1.7494043373150086,4.713947902179791,2.083891472815084,0,0,0,0
30,20,0.86,0.84,0.8,0.9,1.9476856851488358,1.5991894249017564,1.944840941180813,2.083891472815084,0,0,0,0
30,30,0.83,0.84,0.79,0.91,2.3303751274430065,1.4995032104290664,1.6120477253613883,2.083891472815084,0,0,0,0
30,40,0.86,0.8,0.76,0.88,2.318148762306316,1.4651128850897392,1.5967044238798882,2.083891472815084,0,0,0,0
30,50,0.83,0.82,0.83,0.96,2.3363320048533165,1.5139275747015701,1.634351528812566,2.083891472815084,0,0,0,0
31,0,0.87,0.87,,0.87,1.7425392509519857,1.7425392509519857,,1.7425392509519857,0,0,0,0
31,10,0.89,0.83,0.92,0.83,1.7435244507448244,1.5521937093771583,5.723637649573419,1.7425392509519857,0,0,0,0
31,20,0.74,0.76,0.78,0.85,1.485168623740035,1.3169490336109453,1.932354813895977,1.7425392509519857,0,0,0,0
31,30,0.82,0.75,0.84,0.87,2.3111478016133464,1.4003405753420302,1.6770841876712543,1.7425392509519857,0,0,0,0
31,40,0.89,0.78,0.83,0.87,2.0950401662095386,1.3900132107564585,1.62191902989306,1.7425392509519857,0,0,0,0
31,50,0.83,0.8,0.84,0.88,2.2946379466631854,1.3776796216791034,1.5440849953785327,1.7425392509519857,0,0,0,0
32,0,0.88,0.88,,0.88,1.723669088800156,1.723669088800156,,1.723669088800156,0,0,0,0
32,10,0.82,0.79,0.84,0.85,1.681228149187715,1.524670777915007,4.655382022614432,1.723669088800156,0,0,0,0
