dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,Std-CP,5,0.05,0.95,0.747,0.013747399754135324,0.43494847991478275,1000.0
poissonNmean21,Std-CP,10,0.25,0.75,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,10,0.225,0.775,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,10,0.2,0.8,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,10,0.175,0.825,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,10,0.15,0.85,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,10,0.125,0.875,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,10,0.1,0.9,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,10,0.075,0.925,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,10,0.05,0.95,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,15,0.25,0.75,0.766,0.013388203763014663,0.42358402168096876,1000.0
poissonNmean21,Std-CP,15,0.225,0.775,0.766,0.013388203763014663,0.42358402168096876,1000.0
poissonNmean21,Std-CP,15,0.2,0.8,0.886,0.010050074626588601,0.31797028965786267,1000.0
poissonNmean21,Std-CP,15,0.175,0.825,0.886,0.010050074626588601,0.31797028965786267,1000.0
poissonNmean21,Std-CP,15,0.15,0.85,0.886,0.010050074626588601,0.31797028965786267,1000.0
poissonNmean21,Std-CP,15,0.125,0.875,0.886,0.010050074626588601,0.31797028965786267,1000.0
poissonNmean21,Std-CP,15,0.1,0.9,0.886,0.010050074626588601,0.31797028965786267,1000.0
poissonNmean21,Std-CP,15,0.075,0.925,0.886,0.010050074626588601,0.31797028965786267,1000.0
poissonNmean21,Std-CP,15,0.05,0.95,0.886,0.010050074626588601,0.31797028965786267,1000.0
poissonNmean21,Std-CP,20,0.25,0.75,0.822,0.012096115078817663,0.38270414482007176,1000.0
poissonNmean21,Std-CP,20,0.225,0.775,0.822,0.012096115078817663,0.38270414482007176,1000.0
poissonNmean21,Std-CP,20,0.2,0.8,0.822,0.012096115078817663,0.38270414482007176,1000.0
poissonNmean21,Std-CP,20,0.175,0.825,0.912,0.008958571314668425,0.28343665312788385,1000.0
poissonNmean21,Std-CP,20,0.15,0.85,0.912,0.008958571314668425,0.28343665312788385,1000.0
poissonNmean21,Std-CP,20,0.125,0.875,0.912,0.008958571314668425,0.28343665312788385,1000.0
poissonNmean21,Std-CP,20,0.1,0.9,0.912,0.008958571314668425,0.28343665312788385,1000.0
poissonNmean21,Std-CP,20,0.075,0.925,0.912,0.008958571314668425,0.28343665312788385,1000.0
poissonNmean21,Std-CP,20,0.05,0.95,0.912,0.008958571314668425,0.28343665312788385,1000.0
poissonNmean21,Std-CP,25,0.25,0.75,0.776,0.013184233007649704,0.41713067256915787,1000.0
poissonNmean21,Std-CP,25,0.225,0.775,0.776,0.013184233007649704,0.41713067256915787,1000.0
poissonNmean21,Std-CP,25,0.2,0.8,0.843,0.01150439046625244,0.3639828065767441,1000.0
poissonNmean21,Std-CP,25,0.175,0.825,0.843,0.01150439046625244,0.3639828065767441,1000.0
poissonNmean21,Std-CP,25,0.15,0.85,0.843,0.01150439046625244,0.3639828065767441,1000.0
poissonNmean21,Std-CP,25,0.125,0.875,0.921,0.008529888627643386,0.2698737331268677,1000.0
poissonNmean21,Std-CP,25,0.1,0.9,0.921,0.008529888627643386,0.2698737331268677,1000.0
poissonNmean21,Std-CP,25,0.075,0.925,0.921,0.008529888627643386,0.2698737331268677,1000.0
poissonNmean21,Std-CP,25,0.05,0.95,0.921,0.008529888627643386,0.2698737331268677,1000.0
poissonNmean21,Std-CP,30,0.25,0.75,0.752,0.01365635383255721,0.432067914433232,1000.0
poissonNmean21,Std-CP,30,0.225,0.775,0.822,0.012096115078817663,0.38270414482007176,1000.0
poissonNmean21,Std-CP,30,0.2,0.8,0.822,0.012096115078817663,0.38270414482007176,1000.0
poissonNmean21,Std-CP,30,0.175,0.825,0.873,0.010529529904036551,0.33313958333104454,1000.0
poissonNmean21,Std-CP,30,0.15,0.85,0.873,0.010529529904036551,0.33313958333104454,1000.0
poissonNmean21,Std-CP,30,0.125,0.875,0.873,0.010529529904036551,0.33313958333104454,1000.0
poissonNmean21,Std-CP,30,0.1,0.9,0.944,0.007270763371201131,0.2300367729666649,1000.0
poissonNmean21,Std-CP,30,0.075,0.925,0.944,0.007270763371201131,0.2300367729666649,1000.0
poissonNmean21,Std-CP,30,0.05,0.95,0.944,0.007270763371201131,0.2300367729666649,1000.0
