replicate,o,tau,alpha,width,q_method,q,q_lower,q_upper,knot_value,mass_knot_test_frac,mass_knot_cal_frac,q_upper_is_test_value,q_upper_is_cal_only,q_upper_shared_cal_test,q_equals_max_test_finite,q_cal_only,q_over_q_cal_only,q_no_test_finite,q_changes_without_test_finite,max_test_finite,p90_cal_scores,median_cal_scores,mass_weight_test,mass_weight_cal,mass_weight_inf,mass_below_q_test,mass_below_q_cal,n_cal_scores,n_test_finite,n_test_inf
5,25,12,0.1,3.632342247266127,1.8161711236330635,1.8161711236330635,1.8161711236330635,1.8161711236330635,1.8161711236330635,1.0,0.0,True,False,False,True,inf,,inf,False,1.8161711236330635,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
5,30,15,0.1,4.747083033166488,2.373541516583244,2.373541516583244,2.373541516583244,2.373541516583244,2.373541516583244,1.0,0.0,True,False,False,True,inf,,inf,False,2.373541516583244,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
5,35,17,0.1,4.898593987249708,2.449296993624854,2.449296993624854,2.449296993624854,2.449296993624854,2.449296993624854,1.0,0.0,True,False,False,True,inf,,inf,False,2.449296993624854,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
6,0,0,0.1,11.793850669566265,5.896925334783132,5.896925334783132,5.896925334783132,5.896925334783132,5.896925334783132,0.0,1.0,False,True,False,False,5.896925334783132,1.0,5.896925334783132,False,,4.024881676020481,1.9292092757333195,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
6,5,2,0.1,8.309037432642867,4.154518716321434,4.154518716321434,4.154518716321434,4.154518716321434,4.154518716321434,0.0,1.0,False,True,False,False,4.56090836320741,0.9108972128963829,4.56090836320741,True,1.5379333756945792,3.0999355906966377,1.2358426324317078,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
6,10,5,0.1,6.457588931724459,3.2287944658622294,3.2287944658622294,3.2287944658622294,3.2287944658622294,3.2287944658622294,0.0,1.0,False,True,False,False,4.032753705614219,0.8006426133505863,4.032753705614219,True,2.6169937100286504,2.5124062828529587,1.0771621629822485,0.028409090909090905,0.9090909090909092,0.0625,0.028409090909090905,0.875,160,5,11
6,15,7,0.1,5.402344046986347,2.7011720234931733,2.7011720234931733,2.7011720234931733,2.7011720234931733,2.7011720234931733,0.0,1.0,False,True,False,False,3.594316757670345,0.7515119577952659,3.594316757670345,True,2.941274113472688,2.2766485538220746,0.9316523474079368,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.03896103896103897,0.8636363636363638,140,8,6
6,20,10,0.1,4.748492364973377,2.3742461824866883,2.3742461824866883,2.3742461824866883,2.3742461824866883,2.3742461824866883,0.0,1.0,False,True,False,False,3.482909278302021,0.6816847620114225,3.482909278302021,True,3.0351474610675293,2.0211882117533517,0.9833405442212437,0.08264462809917356,0.909090909090909,0.008264462809917356,0.06611570247933884,0.8347107438016528,110,10,1
6,25,12,0.1,5.9728440740392195,2.9864220370196097,2.9864220370196097,2.9864220370196097,2.9864220370196097,2.9864220370196097,1.0,0.0,True,False,False,True,inf,,inf,False,2.9864220370196097,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
6,30,15,0.1,4.977888473469191,2.4889442367345955,2.4889442367345955,2.4889442367345955,2.4889442367345955,2.4889442367345955,1.0,0.0,True,False,False,True,inf,,inf,False,2.4889442367345955,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
